tournament,date,average_driving_distance
Southern Open,1988-10-02,283.3474999999998
Gatlin Brothers-Southwest Golf Classic,1988-10-09,272.5094594594593
Texas Open,1988-10-16,276.1521126760563
Pensacola Open,1988-10-23,261.67974683544287
Walt Disney World/Oldsmobile Classic,1988-10-30,261.63648648648655
Northern Telecom Tucson Open,1988-11-06,275.82948717948705
Nabisco Championship,1988-11-13,256.0866666666667
Centel Classic,1988-11-13,269.37123287671216
MONY Tournament of Champions,1989-01-08,243.40312500000005
Bob Hope Chrysler Classic,1989-01-15,255.22799999999998
Phoenix Open,1989-01-22,275.74761904761885
AT&T Pebble Beach National Pro-Am,1989-01-29,252.1865671641791
Nissan Los Angeles Open,1989-02-05,244.86410256410252
Hawaiian Open,1989-02-12,256.1098765432099
Shearson Lehman Hutton Open,1989-02-19,262.63199999999983
Doral-Ryder Open,1989-02-26,256.47571428571416
Honda Classic,1989-03-05,262.01780821917805
Nestle Invitational,1989-03-12,253.52499999999995
THE PLAYERS Championship,1989-03-19,271.73648648648646
USF&G Classic,1989-03-26,264.1116883116883
Independent Insurance Agent Open,1989-04-02,255.78831168831155
Masters Tournament,1989-04-09,248.76730769230764
Deposit Guaranty Golf Classic,1989-04-09,252.8783783783784
MCI Heritage Golf Classic,1989-04-16,248.26575342465745
KMart Greater Greensboro Open,1989-04-23,265.60843373493964
Las Vegas Invitational,1989-04-30,276.7397260273972
GTE Byron Nelson Golf Classic,1989-05-07,258.56388888888875
Memorial Tournament,1989-05-14,241.5362318840579
Southwestern Bell Colonial,1989-05-21,265.6464788732393
BellSouth Atlanta Golf Classic,1989-05-28,261.868115942029
Kemper Open,1989-06-04,286.8307692307691
Manufacturers Hanover Westchester Classic,1989-06-11,252.8085714285713
U.S. Open Championship,1989-06-18,257.82253521126756
Canadian Open,1989-06-25,252.60843373493972
Beatrice Western Open,1989-07-02,262.68658536585343
Canon Greater Hartford Open,1989-07-09,271.5453333333332
Anheuser-Busch Golf Classic,1989-07-16,256.9705128205127
Hardee's Golf Classic,1989-07-23,263.7565217391304
Buick Open,1989-07-30,261.5093333333333
Federal Express St. Jude Classic,1989-08-06,278.4093333333334
PGA Championship,1989-08-13,261.7442857142857
Chattanooga Classic,1989-08-27,272.4590361445782
NEC World Series of Golf,1989-08-27,280.9318181818182
Greater Milwaukee Open,1989-09-03,256.23098591549285
B.C. Open,1989-09-10,287.71081081081076
Bank of Boston Classic,1989-09-17,252.71923076923076
Southern Open,1989-09-24,274.6447368421052
Centel Classic,1989-10-01,259.22926829268295
Texas Open,1989-10-08,270.9839999999999
Walt Disney World/Oldsmobile Classic,1989-10-21,258.92073170731703
Nabisco Championship,1989-10-29,257.6466666666667
MONY Tournament of Champions,1990-01-07,252.88387096774198
Northern Telecom Tucson Open,1990-01-14,262.12025316455663
Bob Hope Chrysler Classic,1990-01-21,249.84657534246574
Phoenix Open,1990-01-28,266.7621951219512
AT&T Pebble Beach National Pro-Am,1990-02-04,240.7564516129032
Hawaiian Open,1990-02-11,262.4753086419752
Shearson Lehman Hutton Open,1990-02-18,265.82068965517215
Nissan Los Angeles Open,1990-02-25,260.52207792207776
Doral-Ryder Open,1990-03-04,258.2545454545454
Honda Classic,1990-03-11,258.24125
THE PLAYERS Championship,1990-03-18,279.61805555555543
Nestle Invitational,1990-03-25,259.71599999999984
Independent Insurance Agent Open,1990-04-01,255.99249999999992
Deposit Guaranty Golf Classic,1990-04-08,257.68333333333334
Masters Tournament,1990-04-08,261.94897959183663
MCI Heritage Golf Classic,1990-04-15,255.04166666666646
KMart Greater Greensboro Open,1990-04-22,256.68873239436624
USF&G Classic,1990-04-29,257.54444444444425
GTE Byron Nelson Golf Classic,1990-05-06,264.6804878048781
Memorial Tournament,1990-05-13,248.55205479452053
Southwestern Bell Colonial,1990-05-20,282.13376623376615
BellSouth Atlanta Golf Classic,1990-05-27,267.10119047619054
Kemper Open,1990-06-03,273.2619718309857
Centel Western Open,1990-06-10,259.6717647058822
U.S. Open Championship,1990-06-17,253.13823529411752
Buick Classic,1990-06-24,257.9643678160919
Canon Greater Hartford Open,1990-07-01,262.83513513513503
Anheuser-Busch Golf Classic,1990-07-08,254.17763157894728
Bank of Boston Classic,1990-07-15,254.77808219178075
Buick Open,1990-07-29,270.32702702702693
Federal Express St. Jude Classic,1990-08-05,269.8999999999999
PGA Championship,1990-08-12,256.86351351351345
Chattanooga Classic,1990-08-26,280.2945205479451
NEC World Series of Golf,1990-08-26,271.5851063829788
Greater Milwaukee Open,1990-09-01,263.23194444444437
Hardee's Golf Classic,1990-09-09,273.6645569620252
Canadian Open,1990-09-16,266.8411764705881
B.C. Open,1990-09-23,262.3539473684209
Buick Southern Open,1990-09-30,290.6607594936707
H.E.B. Texas Open,1990-10-07,277.38285714285695
Las Vegas Invitational,1990-10-14,271.3117647058824
Walt Disney World/Oldsmobile Classic,1990-10-20,262.27624999999983
Nabisco Championship,1990-10-28,259.2766666666667
Infiniti Tournament of Champions,1991-01-06,251.458064516129
Northern Telecom Open,1991-01-13,260.07972972972965
United Hawaiian Open,1991-01-20,263.07283950617284
Phoenix Open,1991-01-27,274.23249999999996
AT&T Pebble Beach National Pro-Am,1991-02-03,244.84687499999987
Bob Hope Chrysler Classic,1991-02-10,266.8623376623377
Shearson Lehman Brothers Open,1991-02-17,264.84366197183084
Nissan Los Angeles Open,1991-02-24,251.95540540540526
Doral-Ryder Open,1991-03-03,249.03421052631577
Honda Classic,1991-03-10,271.1359999999999
Nestle Invitational,1991-03-17,249.52162162162165
USF&G Classic,1991-03-24,253.386111111111
THE PLAYERS Championship,1991-03-31,255.45526315789468
Deposit Guaranty Golf Classic,1991-04-14,255.85657894736826
Masters Tournament,1991-04-14,268.7771929824561
MCI Heritage Golf Classic,1991-04-21,245.44266666666658
KMart Greater Greensboro Open,1991-04-28,258.86478873239423
GTE Byron Nelson Golf Classic,1991-05-05,263.9463414634147
BellSouth Atlanta Golf Classic,1991-05-12,257.10985915492944
Memorial Tournament,1991-05-19,262.5435897435897
Southwestern Bell Colonial,1991-05-26,259.3786666666665
Kemper Open,1991-06-02,289.82531645569617
Buick Classic,1991-06-09,258.46571428571417
U.S. Open Championship,1991-06-16,257.5230769230768
Anheuser-Busch Golf Classic,1991-06-23,249.18375
Federal Express St. Jude Classic,1991-06-30,266.2391891891891
Centel Western Open,1991-07-07,259.2951219512194
New England Classic,1991-07-14,261.7958904109588
Chattanooga Classic,1991-07-21,267.4914285714284
Canon Greater Hartford Open,1991-07-28,248.24459459459453
Buick Open,1991-08-04,266.82027027027016
PGA Championship,1991-08-11,263.07792207792187
NEC World Series of Golf,1991-08-25,283.06249999999994
Greater Milwaukee Open,1991-09-01,271.1265822784809
Canadian Open,1991-09-08,268.64
Hardee's Golf Classic,1991-09-15,270.53809523809514
B.C. Open,1991-09-22,264.1064935064935
Buick Southern Open,1991-09-29,254.77183098591544
H.E.B. Texas Open,1991-10-06,278.6820512820513
Las Vegas Invitational,1991-10-13,270.1346666666668
Walt Disney World/Oldsmobile Classic,1991-10-16,260.85124999999994
Independent Insurance Agent Open,1991-10-27,253.79999999999987
THE TOUR Championship,1991-11-03,269.63666666666677
Infiniti Tournament of Champions,1992-01-12,249.85312500000006
Bob Hope Chrysler Classic,1992-01-19,264.1123287671233
Phoenix Open,1992-01-26,277.78227848101244
AT&T Pebble Beach National Pro-Am,1992-02-02,245.94411764705873
United Airlines Hawaiian Open,1992-02-06,272.63164556962016
Northern Telecom Open,1992-02-16,265.8249999999999
Buick Invitational of California,1992-02-23,260.1635135135136
Nissan Los Angeles Open,1992-03-01,264.23589743589736
Doral-Ryder Open,1992-03-08,265.71234567901223
Honda Classic,1992-03-15,248.40675675675664
Nestle Invitational,1992-03-22,255.09113924050624
THE PLAYERS Championship,1992-03-29,257.4082191780821
Freeport-McMoRan Golf Classic,1992-04-05,264.21282051282026
Deposit Guaranty Golf Classic,1992-04-12,259.31749999999977
Masters Tournament,1992-04-12,267.44920634920635
MCI Heritage Golf Classic,1992-04-19,252.02297297297284
KMart Greater Greensboro Open,1992-04-26,263.00547945205483
Shell Houston Open,1992-05-03,262.5787499999999
BellSouth Classic,1992-05-10,247.3679012345678
